iter	Logloss
0	0.684740848
1	0.6770894056
2	0.6692144584
3	0.662713399
4	0.6553330614
5	0.6481310472
6	0.6412182989
7	0.6334855844
8	0.6271539201
9	0.6202366079
10	0.614015731
11	0.6072259729
12	0.6015262013
13	0.5958157686
14	0.5892448766
15	0.5834062048
16	0.5775196386
17	0.5721860931
18	0.5669925185
19	0.5616157297
20	0.5565881777
21	0.5514709498
22	0.5458040156
23	0.5409420099
24	0.5358678017
25	0.5315608898
26	0.5269832776
27	0.5221938177
28	0.5176167397
29	0.513209227
30	0.5093793226
31	0.505536706
32	0.5018112869
33	0.4981260944
34	0.4939649977
35	0.4902813618
36	0.4867130081
37	0.4831784035
38	0.4796298266
39	0.476107468
40	0.4726732968
41	0.4698568657
42	0.4661616943
43	0.4630886205
44	0.4602105513
45	0.4573654071
46	0.4547552853
47	0.4517783618
48	0.4487603099
49	0.4457690892
50	0.4426031677
51	0.439745365
52	0.4371731572
53	0.4344330694
54	0.4318448841
55	0.4293355554
56	0.4268923626
57	0.4242207892
58	0.4218961725
59	0.4198300763
60	0.4175519574
61	0.4153359342
62	0.4129567832
63	0.4109898304
64	0.4088581609
65	0.4070202113
66	0.4048376414
67	0.4029806017
68	0.4011374356
69	0.3993422243
70	0.3974138252
71	0.395836631
72	0.3938848019
73	0.392064455
74	0.3899960942
75	0.3882522428
76	0.3867162278
77	0.3852191542
78	0.3835425813
79	0.3819980058
80	0.3803558667
81	0.3785880931
82	0.3773282057
83	0.3757528387
84	0.3743052862
85	0.373060564
86	0.3718619305
87	0.3704661178
88	0.369297358
89	0.3681583596
90	0.3667869175
91	0.3655666513
92	0.3641145365
93	0.3628048824
94	0.3616649135
95	0.3607304734
96	0.3594152409
97	0.3582291197
98	0.3570194604
99	0.3559606572
100	0.3549688409
101	0.3538259257
102	0.3528074189
103	0.3519680571
104	0.3508706171
105	0.3498459863
106	0.348995405
107	0.3480179121
108	0.3469405685
109	0.3460996009
110	0.3452695031
111	0.3442993076
112	0.3433594976
113	0.3426146187
114	0.3418818227
115	0.3410090346
116	0.3402457173
117	0.3393164044
118	0.3385313634
119	0.3378192861
120	0.3370546146
121	0.3363883446
122	0.3356163789
123	0.3348269544
124	0.3339542346
125	0.3330812412
126	0.3323586179
127	0.3316619601
128	0.3310225032
129	0.3301877348
130	0.329560749
131	0.3289217735
132	0.3282105096
133	0.3275222323
134	0.326972969
135	0.3262485805
136	0.3256571282
137	0.3250946723
138	0.3245051875
139	0.3239754059
140	0.3233937899
141	0.3230080494
142	0.3224294438
143	0.3216714692
144	0.3210833328
145	0.3205184727
146	0.3199413946
147	0.3194179413
148	0.3189085368
149	0.3184367743
150	0.3179210703
151	0.3174503005
152	0.3169727308
153	0.316489939
154	0.3159481199
155	0.3152890361
156	0.3147847228
157	0.3143112631
158	0.3139320528
159	0.3134755497
160	0.313150494
161	0.312704185
162	0.3122541272
163	0.3116962593
164	0.3111681271
165	0.3107334342
166	0.3102236969
167	0.3098888171
168	0.3093654393
169	0.3090122764
170	0.3085872522
171	0.3082433338
172	0.3078485082
173	0.3075108296
174	0.3071738117
175	0.3067324303
176	0.3063730499
177	0.3060163046
178	0.3056215808
179	0.305276695
180	0.3049602235
181	0.3045739264
182	0.3041529374
183	0.3038396387
184	0.3034585047
185	0.3030541711
186	0.3027562747
187	0.3023254808
188	0.3020410634
189	0.3016500805
190	0.3012350756
191	0.3009545181
192	0.3005832274
193	0.3002791694
194	0.2999559829
195	0.2996546334
196	0.299344158
197	0.2990651115
198	0.2987553896
199	0.2984802578
200	0.2982145774
201	0.297918791
202	0.2976511699
203	0.2972748185
204	0.29696651
205	0.2966807432
206	0.2963141907
207	0.2960040297
208	0.2957148123
209	0.2955038101
210	0.2953109183
211	0.2950710728
212	0.2948311497
213	0.294549799
214	0.2942283096
215	0.2940379159
216	0.2938057156
217	0.2935227174
218	0.2932851484
219	0.2930611656
220	0.2927764746
221	0.2925348385
222	0.2923247219
223	0.2921049003
224	0.2918257502
225	0.2915752994
226	0.2913201628
227	0.2910485422
228	0.2908843331
229	0.2904950705
230	0.2902422412
231	0.290014613
232	0.2898155086
233	0.2894548241
234	0.2892538313
235	0.2889821354
236	0.2887596832
237	0.2884631581
238	0.2882090233
239	0.2879925456
240	0.2877569799
241	0.2875543975
242	0.2873057631
243	0.2870830401
244	0.2868727037
245	0.2866538788
246	0.286455809
247	0.2862475637
248	0.2860176891
249	0.2857487903
250	0.2855483187
251	0.2853545046
252	0.2851194499
253	0.2849053897
254	0.2847194386
255	0.2845263032
256	0.2842885628
257	0.2841077833
258	0.2839343828
259	0.2836750194
260	0.2834607672
261	0.2831432854
262	0.2829297031
263	0.2827389004
264	0.2824296664
265	0.2822337714
266	0.2820552443
267	0.2818516611
268	0.2816705293
269	0.2814001397
270	0.2811706556
271	0.2809861256
272	0.2808220088
273	0.2806377755
274	0.2804655442
275	0.2802585927
276	0.280058489
277	0.2799042869
278	0.2797480338
279	0.2795133392
280	0.2793407925
281	0.2791725912
282	0.2789969072
283	0.278846432
284	0.2787099015
285	0.2785333747
286	0.2783944329
287	0.2782215187
288	0.2779769169
289	0.2778221695
290	0.2775986397
291	0.2773796793
292	0.2772470103
293	0.2770995342
294	0.2769456649
295	0.2767587799
296	0.2765481264
297	0.2763891269
298	0.2762262339
299	0.2760593973
300	0.275870868
301	0.2756904541
302	0.2754598094
303	0.2752004287
304	0.2750470539
305	0.2748377761
306	0.2746779074
307	0.2745152769
308	0.2743646937
309	0.274190811
310	0.2740443648
311	0.2739045214
312	0.27377032
313	0.2736203113
314	0.2733532369
315	0.2731152827
316	0.272983872
317	0.2728334007
318	0.272687504
319	0.2725312193
320	0.2723836733
321	0.2722487332
322	0.2720879918
323	0.2719256521
324	0.2717827924
325	0.2716594098
326	0.2714841035
327	0.2712675962
328	0.2711443232
329	0.2710136833
330	0.2708134644
331	0.2706733479
332	0.2704436935
333	0.2703094943
334	0.2701473471
335	0.2700033894
336	0.2698845554
337	0.2697333367
338	0.2695620753
339	0.2693609518
340	0.2691726778
341	0.2690579541
342	0.2688717419
343	0.2687254844
344	0.2686093894
345	0.2684817314
346	0.2683598818
347	0.2681959693
348	0.2680022108
349	0.267878418
350	0.2676601457
351	0.2674831645
352	0.2673612076
353	0.2672161888
354	0.2670655534
355	0.2669469127
356	0.2668104416
357	0.2666979359
358	0.2665633531
359	0.2664454506
360	0.2663030058
361	0.2661984734
362	0.2660803007
363	0.2659675218
364	0.2658292873
365	0.2657159073
366	0.2656119758
367	0.2654607078
368	0.2653473568
369	0.2652153756
370	0.2650974197
371	0.2649855954
372	0.2648669007
373	0.2647524227
374	0.2645899606
375	0.2644578682
376	0.2643356946
377	0.2642113573
378	0.2640980837
379	0.2639768433
380	0.2638354973
381	0.2637214859
382	0.2636194162
383	0.2634870481
384	0.2633890365
385	0.2632511339
386	0.2631336582
387	0.2630165256
388	0.2629112244
389	0.2627963389
390	0.2626509357
391	0.2625320187
392	0.2623698449
393	0.2622587359
394	0.262099286
395	0.2619832175
396	0.261863183
397	0.2617127762
398	0.2616076097
399	0.2614878766
400	0.2613678122
401	0.2612454752
402	0.2611022457
403	0.2609749822
404	0.2608692961
405	0.2607632274
406	0.260630488
407	0.2605423653
408	0.2604342155
409	0.2602953212
410	0.2601905205
411	0.2600705907
412	0.259958445
413	0.2598383549
414	0.2597025792
415	0.2595789168
416	0.2594577892
417	0.2593067475
418	0.259229198
419	0.2590893377
420	0.258944467
421	0.2588021164
422	0.2586979673
423	0.2585780471
424	0.2584582808
425	0.2582797381
426	0.2581851769
427	0.2580945028
428	0.2579858093
429	0.2578921239
430	0.2577951255
431	0.257694676
432	0.2576038683
433	0.2574673489
434	0.257368323
435	0.2572432854
436	0.257141658
437	0.2570469341
438	0.2569451382
439	0.256849947
440	0.2567664263
441	0.2566789346
442	0.2565625704
443	0.2564520627
444	0.2563180891
445	0.2562173084
446	0.2561094052
447	0.2559945054
448	0.2559037259
449	0.2557867825
450	0.2556953416
451	0.2556067243
452	0.2555152842
453	0.2554113035
454	0.2553208526
455	0.2552276603
456	0.2551152689
457	0.2550204369
458	0.2549318188
459	0.2548412584
460	0.2547474633
461	0.2546582185
462	0.2545651767
463	0.2544786153
464	0.254384984
465	0.2543144733
466	0.2541909728
467	0.2540972784
468	0.2539947753
469	0.2538898593
470	0.2537901784
471	0.2536960279
472	0.2535903474
473	0.2535149354
